"Number"   , "Start date"      , "Start station number", "Start station"                       , "End date"        , "End station number", "End station"                        , "Bike number", "Bike model", "Total duration", "Total duration (ms)"
"136666627", "2024-01-14 23:59", "001108"              , "North Wharf Road, Paddington"        , "2024-01-15 00:06", "003423"            , "Maida Vale, Maida Vale"             , "53020"      , "CLASSIC"   , "6m 47s"        , "407799"
"136666625", "2024-01-14 23:57", "003447"              , "Gloucester Road (North), Kensington" , "2024-01-15 00:05", "001214"            , "Kensington Olympia Station, Olympia", "54559"      , "CLASSIC"   , "8m 1s"         , "481276"
"136666626", "2024-01-14 23:57", "001090"              , "Warren Street Station, Euston"       , "2024-01-15 00:02", "200005"            , "New Cavendish Street, Marylebone"   , "52133"      , "CLASSIC"   , "5m 11s"        , "311788"
"136666622", "2024-01-14 23:56", "200058"              , "Northdown Street, King's Cross"      , "2024-01-15 00:06", "002687"            , "Brick Lane Market, Shoreditch"      , "60341"      , "PBSC_EBIKE", "10m 14s"       , "614030"
"136666623", "2024-01-14 23:56", "001052"              , "Soho Square , Soho"                  , "2024-01-15 00:23", "001150"            , "Queensway, Kensington Gardens"      , "55212"      , "CLASSIC"   , "27m 1s"        , "1621583"
"136666624", "2024-01-14 23:56", "001142"              , "Tooley Street, Bermondsey"           , "2024-01-15 00:09", "200148"            , "Ansell House, Stepney"              , "54461"      , "CLASSIC"   , "12m 47s"       , "767596"
"136666619", "2024-01-14 23:54", "022177"              , "Christian Street, Whitechapel"       , "2024-01-14 23:57", "200149"            , "Watney Street, Shadwell"            , "50789"      , "CLASSIC"   , "3m 30s"        , "210524"
"136666620", "2024-01-14 23:54", "001158"              , "St. Martin's Street, West End"       , "2024-01-15 00:34", "200157"            , "Fournier Street, Whitechapel"       , "58051"      , "CLASSIC"   , "39m 25s"       , "2365251"
"136666621", "2024-01-14 23:54", "001158"              , "St. Martin's Street, West End"       , "2024-01-15 00:27", "001223"            , "Buxton Street 1, Shoreditch"        , "57468"      , "CLASSIC"   , "32m 54s"       , "1974815"
"136666617", "2024-01-14 23:52", "300021"              , "Podium, Queen Elizabeth Olympic Park", "2024-01-14 23:58", "200252"            , "Bow Church Station, Bow"            , "53894"      , "CLASSIC"   , "6m 42s"        , "402579"
