Number   , Start date      , Start station number, Start station                        , End date        , End station number, End station                       , Bike number, Bike model, Total duration, Total duration (ms)
142043054, 14/08/2024 23:59,                22165, "Fisherman's Walk West, Canary Wharf", 15/08/2024 00:40,             200233, "South Quay East, Canary Wharf"   ,       59663, CLASSIC   , 40m 53s       ,             2453526
142043055, 14/08/2024 23:59,                22159, "Ebury Bridge, Pimlico"              , 15/08/2024 00:04,                965, "Tachbrook Street, Victoria"      ,       57811, CLASSIC   , 4m 54s        ,              294201
142043056, 14/08/2024 23:59,                22165, "Fisherman's Walk West, Canary Wharf", 15/08/2024 00:47,             200004, "Lightermans Road, Millwall"      ,       42113, CLASSIC   , 48m 24s       ,             2904192
142043057, 14/08/2024 23:59,                 1072, "Waterloo Station 3, Waterloo"       , 15/08/2024 00:07,                994, "Tanner Street, Bermondsey"       ,       60373, PBSC_EBIKE, 8m 18s        ,              498028
142043059, 14/08/2024 23:59,               300237, "Tate Modern, Bankside"              , 15/08/2024 00:12,             200206, "Chicheley Street, South Bank"    ,       51953, CLASSIC   , 12m 57s       ,              777758
142043060, 14/08/2024 23:59,               300249, "Westminster Pier, Westminster"      , 14/08/2024 23:59,             300249, "Westminster Pier, Westminster"   ,       56557, CLASSIC   , 8s            ,                8560
142043062, 14/08/2024 23:59,               200183, "Battersea Park Road, Nine Elms"     , 15/08/2024 00:12,             200201, "Battersea Church Road, Battersea",       20529, CLASSIC   , 12m 29s       ,              749720
142043046, 14/08/2024 23:58,                22160, "Chelsea Bridge, Pimlico"            , 15/08/2024 00:08,             200183, "Battersea Park Road, Nine Elms"  ,       41895, CLASSIC   , 10m 6s        ,              606081
142043047, 14/08/2024 23:58,                 3457, "Rochester Row, Westminster"         , 15/08/2024 00:06,             200223, "Ashmole Estate, Oval"            ,       60182, PBSC_EBIKE, 8m 32s        ,              512276
142043048, 14/08/2024 23:58,               300081, "Haggerston Road, Haggerston"        , 15/08/2024 00:20,             200230, "Maplin Street, Mile End"         ,       55024, CLASSIC   , 21m 48s       ,             1308698
